over,short_text,long_text
10.2,"Kuldeep to Kohli, 1 run","full on middle stump, and yet another watchful drive from Kohli. This one to long-on"
10.1,"Kuldeep to Kohli, no run",good length ball turning in at the stumps. Tapped to midwicket
9.6,"Russell to Vohra, OUT","gone! A full toss! Vohra skips down the pitch and gets a shin height full toss tailing in at him that is ripe for a drilling through midwicket. It's what he was looking to do as well. Except, there's a gap between bat and pad and the inside edge sneaks through to smash the stumps oh it takes his back boot on the way too"
9.6,"Russell to Vohra, 1 wide","another bouncer. Slower ball too, it appears. But it's too high for him to connect"
9.5,"Russell to McCullum, OUT","got him! Through the hook shot too early, is McCullum, and he ends up getting a feather off the toe of the bat which carries comfortably to the keeper. A short ball and he made plenty of room for the swing, but the timing is just off"
9.4,"Russell to Kohli, 1 run","short of a length in the corridor, allows it to come on and guides towards third man off the face of the bat"
9.3,"Russell to McCullum, 1 run",falls short of long-off. Length ball just outside off. He can't get elevation as he looks to loft this straight
9.2,"Russell to Kohli, 1 run",short of a length and some shape way off the pitch. Follows with his hands and jabs it past point
9.1,"Russell to McCullum, 1 run",steps out and creams a square drive straight to sweeper cover. A full ball wide outside off and he steps out to get this out there
8.6,"Kuldeep to Kohli, no run",length ball tossed up at off stump and nervous flick straight to short midwicket
8.5,"Kuldeep to McCullum, 1 run","length ball at the stumps, dragged into the leg side with a heave"
8.4,"Kuldeep to McCullum, no run","googly, pushed at a length and wide outside off. Looks to slog sweep, misses"
8.3,"Kuldeep to Kohli, 1 run",loses control against this loopy ball from Kuldeep. Looks like a googly. Kohli has to wait a long time after shaping to flick and ends up chipping to long-off
8.2,"Kuldeep to McCullum, 1 leg bye","length ball on middle stump, presses well froward and gets deflects this into the leg side with a bat-pad"
8.1,"Kuldeep to de Kock, OUT","aesthetically beauty is where de Kock's inside-out loft over extra cover stops. He's not fully to the pitch and as a result, he's ended up slicing a very good looking shot to sweeper's left. The fielder runs a few yards to his left and watches carefully before completing the catch"
7.6,"Chawla to McCullum, SIX runs","short again, not sure what Chawla is trying here! Forget the off side, McCullum rocks back this time and pulls it high and wide over long-on"
7.5,"Chawla to McCullum, no run",tries to find the gap again with a back-foot cut and finds point this time
7.4,"Chawla to McCullum, FOUR runs","shorter and quicker, and it's short enough to give McCullum the time to go back and chop it between point and short third man"
7.3,"Chawla to McCullum, FOUR runs","beaten but he gets four! Flatter one on the middle stump and it turned just enough to deceive McCullum, but he made a late adjustment and got it fine on the off side"
7.2,"Chawla to de Kock, 1 run","tries to loft it with the turn this time, doesn't quite middle it but gets one to deep midwicket"
7.1,"Chawla to de Kock, no run","hardly turns around the leg stump, de Kock tries the reverse sweep but doesn't connect at all"
6.6,"Kuldeep to McCullum, SIX runs",spoils the over for Kuldeep! It was pitched up a bit and McCullum slog-swept that one with the turn over the fielder at deep midwicket!
6.5,"Kuldeep to de Kock, 1 run","Kuldeep bowls this one much slower as de Kock comes down, he waits and cuts yet again"
6.4,"Kuldeep to McCullum, 1 run","a fumble at deep midwicket, KKR's fielding still a beat wobbly. McCullum had swept this one with the turn to the leg side"
6.3,"Kuldeep to de Kock, 1 run",a touch fuller and he goes back in the crease again to cut it square
6.2,"Kuldeep to de Kock, 2 runs","slow and on length outside off, de Kock waits for it to turn and then cuts it past point for one"
6.1,"Kuldeep to McCullum, 1 run",pitches the first one short and McCullum pulls it to deep midwicket
5.6,"Shivam Mavi to McCullum, 1 run","low full toss at 146kmh, driven hard and fast to mid off where birthday boy Russell dives and saves a few"
5.5,"Shivam Mavi to McCullum, no run","away-swinging bouncer outside off, he tries to reach out for it but misses. That's the first bouncer for the over"
5.4,"Shivam Mavi to de Kock, 1 run",tries the same delivery but it's a low full toss this time and de Kock slices it to deep point
5.3,"Shivam Mavi to de Kock, no run","145kmh, a wide yorker outside off, de Kock stretches out and only gets a bottom edge"
5.2,"Shivam Mavi to McCullum, 1 run",shares down to make it a half volley on the off stump and smashes it along the ground to deep point
5.1,"Shivam Mavi to de Kock, 1 leg bye","tries to loft the ball off his pads, it was fullish, but he can't get bat on it"
4.6,"Narine to de Kock, 1 run","top edge as he sweeps, goes right behind DK on the leg side and they take one"
4.5,"Narine to de Kock, no run","extra bounce as he goes back to cut on off, DK also can't collect it"
4.4,"Narine to de Kock, FOUR runs","pitched up, he heaves to the leg side and doesn't quite middle it but gets enough to make it past midwicket and deep square leg"
4.3,"Narine to de Kock, no run",flat bats the short ball back to Narine
4.2,"Narine to McCullum, 1 leg bye","much slower than what McCullum expected, he's through with this sweep when the ball reaches him and takes it on the pad outside off"
4.1,"Narine to de Kock, 1 run","offbreak outside off, slices it to backward point and they sprint across for a quick one"
3.6,"Chawla to McCullum, no run","reverse sweeps it straight to short third man, quiet end to the over with three dots"
3.5,"Chawla to McCullum, no run","usual leg break, which hardly spins, much slower on the off stump and he defends again"
3.4,"Chawla to McCullum, no run","darts in one at 122.4kmh according to the TV, it was on off stump and McCullum did well to get his bat down in time"
3.3,"Chawla to de Kock, 1 run","short outside off, he cuts off the back foot and gets one as Kuldeep misfields at point. Looked like a wrong'un"
3.2,"Chawla to McCullum, 1 run","on middle and leg now, he pushes it towards mid on for one"
3.1,"Chawla to McCullum, FOUR runs",nobody on the leg side in the deep and McCullum reaches out from outside off to sweep the googly to deep midwicket for a one-bounce four
2.6,"Johnson to de Kock, SIX runs","makes width because the ball doesn't have any, he lofts the full delivery from the stumps, up and over the off side to the square boundary all the way"
2.5,"Johnson to de Kock, no run","pretty full on the off stump, de Kock closes the face of the bat to drive it straght to mid on"
2.4,"Johnson to McCullum, 1 run","length delivery on the stumps, McCullum makes some room and pushes into the covers"
2.4,"Johnson to McCullum, 1 wide",comes down again and Mitch tries a slower one this time but down leg for a wide
2.3,"Johnson to McCullum, FOUR runs","dances down the tack, Mitch bangs it in short and McCullum smacks it with a full swing on the off side for a cracking four"
2.2,"Johnson to de Kock, 1 run",tries to slog the incoming delivery towards his legs and he only gets an inside edge to leg
2.1,"Johnson to McCullum, 1 run","innocuous looking ball on the pads, McCullum tucks it carefully to leg for one"
1.6,"Narine to de Kock, no run","some width on the off side, he pushes it to cover point and comes back in time"
1.5,"Narine to de Kock, no run",tries to sweep again but gets an edge back to the bowler
1.4,"Narine to de Kock, FOUR runs",same shot but on the other side and same result. Shuffled a bit towards off and this time he swept it much finer for four
1.3,"Narine to de Kock, FOUR runs","sweeps it well this time from well outside off, he had to reach for it a fair bit and slapped it away. Uthappa ran across to his left, put in a dive, got a hand and slid the ball in but it went for four"
1.2,"Narine to de Kock, no run",outside the leg stump now and he tries to sweep but misses
1.1,"Narine to de Kock, no run","length delivery towards the off side, de Kock defends it carefully off the back foot"
0.6,"Chawla to McCullum, no run",presses forward and blocks the length delivery into the covers. What a start from Chawla
0.5,"Chawla to McCullum, no run","quicker, flatter and closer to off, defends off the back foot this time"
0.4,"Chawla to McCullum, no run","length delivery well outside off, he leans forward and pushes it to point"
0.3,"Chawla to de Kock, 1 run","tossed up on the leg stump, de Kock drives it down to mid off"
0.2,"Chawla to de Kock, no run","bit more flight and bit fuller, de Kock tucks it to leg"
0.1,"Chawla to de Kock, no run","right on the stumps, the first ball, and the goes on the back foot to defend it"
19.6,"Basil to Archer, 1 run",all over. A fuller one that curves in and Archer whips it away off the pads to deep midwicket
19.5,"Basil to Gowtham, OUT",gone. Gowtham has picked out long-off and that's the game. Fails to get hold of this fullish ball. Doesn't help that it's curving into him and he doesn't get the room he's looking for as a result. Chips it straight into the hands of long-off
19.4,"Basil to Gowtham, 2 runs","low dipping full toss on middle, Gowtham shovels it straight back and long-on ad long-off converge. The latter slides across and stretches full tilt to pull it back"
19.3,"Basil to Rahane, 1 run","low full toss outside off, Rahane mistimes his punch straight back at the bowler who gets a hand to it"
19.2,"Basil to Gowtham, 1 run","extremely full outside off again, and Gowtham can only squeeze it out to extra cover. They take the single"
19.1,"Basil to Gowtham, FOUR runs","good delivery but an equally good shot from Gowtham. A full one, tailing in late into Gowtham. Nearly a yorker but not quite. Gowtham manages to get underneath it and whips it off the toes through square leg"
18.6,"Kaul to Rahane, no run","slower length ball, keeps a little low outside off and Rahane pulls and the ball sneaks from underneath the bat"
18.5,"Kaul to Rahane, 2 runs",walks across early for a paddle and sees this length ball outside off and slaps it through point instead. Shakib runs to his left and sticks the boot out to stop it before the boundary
18.4,"Kaul to Gowtham, 1 run","just back of a length, Gowtham walks across and whips it through backward square leg"
18.3,"Kaul to Lomror, OUT","brilliant catch by Saha! Another wide fuller one, slanted a long way across the left-hander Lomror and he throws his hands at it without moving his feet. Gets a thick outside edge and Saha flings himself to his left to take a superb, leaping catch"
18.2,"Kaul to Lomror, 2 runs","Manish Pandey with a brilliant effort to save a six. A wide fuller one that Lomror lofts over the in-field. Pandey at long-off snaffles it reverse-cupped, leans back as he does so, and is right in front of the boundary. He's falling over with the momentum and releases the ball as he's falling away. Top effort. Just about lets the ball go as he falls over the boundary line"
18.1,"Kaul to Rahane, 1 run",backs away to a short one and picks backward point as he slaps it. Straight to the fielder but they do well take the run
17.6,"Rashid Khan to Rahane, 1 run","short and turning away, pulled extremely hard to deep midwicket"
17.5,"Rashid Khan to Rahane, no run",gets down for a reverse sweep but it's a full one outside off and he can't make contact as the ball sneaks from underneath
17.4,"Rashid Khan to Lomror, 1 run",advances down the ground and whips a full toss to deep square leg
